# gnuplot data generated by MooNMD
#          x           y           p         psi         u-1         u-2         |u|
#
  1.87500000  1.50000000  0.28742719  1.37588167  1.04142751  0.10798054  1.04701053
  1.87500000  1.00000000  0.31529872  0.84951648  1.07433968  0.09445762  1.07848411
  2.50000000  1.00000000  0.31389435  0.76094505  1.08100660  0.10398578  1.08599646


  2.50000000  2.00000000  0.25048225  1.81546945  1.04921767  0.14396271  1.05904814
  1.87500000  2.00000000  0.26190342  1.89413196  1.03314896  0.10663800  1.03863778
  1.87500000  1.50000000  0.29155394  1.37588167  1.04142751  0.10798054  1.04701053
  2.50000000  1.50000000  0.28013277  1.29088748  1.04977269  0.14755422  1.06009195
  2.50000000  2.00000000  0.25048225  1.81546945  1.04921767  0.14396271  1.05904814


  1.25000000  2.00000000  0.27553694  1.95122230  1.01854234  0.07339310  1.02118316
  1.25000000  1.50000000  0.30171633  1.43973416  1.02746600  0.07560951  1.03024423
  1.87500000  1.50000000  0.28941702  1.37588167  1.04142751  0.10798054  1.04701053
  1.87500000  2.00000000  0.26323763  1.89413196  1.03314896  0.10663800  1.03863778
  1.25000000  2.00000000  0.27553694  1.95122230  1.01854234  0.07339310  1.02118316


  1.25000000  1.00000000  0.32358725  0.92120084  1.05360451  0.07907504  1.05656771
  1.87500000  1.00000000  0.31267071  0.84951648  1.07433968  0.09445762  1.07848411
  1.87500000  1.50000000  0.29125650  1.37588167  1.04142751  0.10798054  1.04701053
  1.25000000  1.50000000  0.30217304  1.43973416  1.02746600  0.07560951  1.03024423
  1.25000000  1.00000000  0.32358725  0.92120084  1.05360451  0.07907504  1.05656771


  2.50000000  3.00000000  0.19503112  2.85949023  1.04298733  0.11298651  1.04908938
  1.87500000  3.00000000  0.21356239  2.92072343  1.02436690  0.08414632  1.02781718
  1.87500000  2.50000000  0.23749696  2.40827396  1.02651549  0.09626851  1.03101972
  2.50000000  2.50000000  0.21896570  2.33788804  1.04451287  0.13041072  1.05262248
  2.50000000  3.00000000  0.19503112  2.85949023  1.04298733  0.11298651  1.04908938


  1.25000000  3.00000000  0.22662198  2.96455867  1.01111443  0.05626054  1.01267845
  1.25000000  2.50000000  0.24983156  2.45868264  1.01284347  0.06467323  1.01490617
  1.87500000  2.50000000  0.23687498  2.40827396  1.02651549  0.09626851  1.03101972
  1.87500000  3.00000000  0.21366540  2.92072343  1.02436690  0.08414632  1.02781718
  1.25000000  3.00000000  0.22662198  2.96455867  1.01111443  0.05626054  1.01267845


  1.25000000  2.00000000  0.27530403  1.95122230  1.01854234  0.07339310  1.02118316
  1.87500000  2.00000000  0.26260894  1.89413196  1.03314896  0.10663800  1.03863778
  1.87500000  2.50000000  0.23725664  2.40827396  1.02651549  0.09626851  1.03101972
  1.25000000  2.50000000  0.24995173  2.45868264  1.01284347  0.06467323  1.01490617
  1.25000000  2.00000000  0.27530403  1.95122230  1.01854234  0.07339310  1.02118316


  2.50000000  2.00000000  0.24760379  1.81546945  1.04921767  0.14396271  1.05904814
  2.50000000  2.50000000  0.22018853  2.33788804  1.04451287  0.13041072  1.05262248
  1.87500000  2.50000000  0.23661818  2.40827396  1.02651549  0.09626851  1.03101972
  1.87500000  2.00000000  0.26403344  1.89413196  1.03314896  0.10663800  1.03863778
  2.50000000  2.00000000  0.24760379  1.81546945  1.04921767  0.14396271  1.05904814


  0.00000000  3.00000000  0.23728217  2.99999992  1.00000000  0.00000000  1.00000000
  0.00000000  2.50000000  0.26193160  2.49999993  1.00000000  0.00000000  1.00000000
  0.62500000  2.50000000  0.25906498  2.48952561  1.00328110  0.03323555  1.00383144
  0.62500000  3.00000000  0.23441555  2.99109237  1.00277730  0.02850933  1.00318249
  0.00000000  3.00000000  0.23728217  2.99999992  1.00000000  0.00000000  1.00000000


  0.00000000  2.00000000  0.29135931  1.99999994  1.00000000  0.00000000  1.00000000
  0.62500000  2.00000000  0.28741367  1.98723679  1.00584677  0.03907157  1.00660534
  0.62500000  2.50000000  0.25845646  2.48952561  1.00328110  0.03323555  1.00383144
  0.00000000  2.50000000  0.26240210  2.49999993  1.00000000  0.00000000  1.00000000
  0.00000000  2.00000000  0.29135931  1.99999994  1.00000000  0.00000000  1.00000000


  1.25000000  2.00000000  0.27602958  1.95122230  1.01854234  0.07339310  1.02118316
  1.25000000  2.50000000  0.24952591  2.45868264  1.01284347  0.06467323  1.01490617
  0.62500000  2.50000000  0.25918050  2.48952561  1.00328110  0.03323555  1.00383144
  0.62500000  2.00000000  0.28568418  1.98723679  1.00584677  0.03907157  1.00660534
  1.25000000  2.00000000  0.27602958  1.95122230  1.01854234  0.07339310  1.02118316


  1.25000000  3.00000000  0.22637331  2.96455867  1.01111443  0.05626054  1.01267845
  0.62500000  3.00000000  0.23469415  2.99109237  1.00277730  0.02850933  1.00318249
  0.62500000  2.50000000  0.25843280  2.48952561  1.00328110  0.03323555  1.00383144
  1.25000000  2.50000000  0.25011197  2.45868264  1.01284347  0.06467323  1.01490617
  1.25000000  3.00000000  0.22637331  2.96455867  1.01111443  0.05626054  1.01267845


  0.00000000  3.00000000  0.23713419  2.99999992  1.00000000  0.00000000  1.00000000
  0.62500000  3.00000000  0.23462819  2.99109237  1.00277730  0.02850933  1.00318249
  0.62500000  3.50000000  0.21360334  3.49243566  1.00256716  0.02429078  1.00286138
  0.00000000  3.50000000  0.21610933  3.49999990  1.00000000  0.00000000  1.00000000
  0.00000000  3.00000000  0.23713419  2.99999992  1.00000000  0.00000000  1.00000000


  1.25000000  3.00000000  0.22667146  2.96455867  1.01111443  0.05626054  1.01267845
  1.25000000  3.50000000  0.20604745  3.46984390  1.01026527  0.04814722  1.01141192
  0.62500000  3.50000000  0.21375779  3.49243566  1.00256716  0.02429078  1.00286138
  0.62500000  3.00000000  0.23438180  2.99109237  1.00277730  0.02850933  1.00318249
  1.25000000  3.00000000  0.22667146  2.96455867  1.01111443  0.05626054  1.01267845


  1.25000000  4.00000000  0.18880204  3.97479836  1.00963061  0.04031577  1.01043522
  0.62500000  4.00000000  0.19609125  3.99367628  1.00239464  0.02033040  1.00260079
  0.62500000  3.50000000  0.21357051  3.49243566  1.00256716  0.02429078  1.00286138
  1.25000000  3.50000000  0.20628130  3.46984390  1.01026527  0.04814722  1.01141192
  1.25000000  4.00000000  0.18880204  3.97479836  1.00963061  0.04031577  1.01043522


  0.00000000  4.00000000  0.19829491  3.99999990  1.00000000  0.00000000  1.00000000
  0.00000000  3.50000000  0.21603003  3.49999990  1.00000000  0.00000000  1.00000000
  0.62500000  3.50000000  0.21370618  3.49243566  1.00256716  0.02429078  1.00286138
  0.62500000  4.00000000  0.19597106  3.99367628  1.00239464  0.02033040  1.00260079
  0.00000000  4.00000000  0.19829491  3.99999990  1.00000000  0.00000000  1.00000000


  2.50000000  3.00000000  0.19489455  2.85949023  1.04298733  0.11298651  1.04908938
  2.50000000  3.50000000  0.17490164  3.38048689  1.04121027  0.09533244  1.04556544
  1.87500000  3.50000000  0.19373983  3.43245435  1.02300999  0.07184471  1.02552967
  1.87500000  3.00000000  0.21373275  2.92072343  1.02436690  0.08414632  1.02781718
  2.50000000  3.00000000  0.19489455  2.85949023  1.04298733  0.11298651  1.04908938


  2.50000000  4.00000000  0.15916033  3.90053182  1.03882635  0.07857125  1.04179346
  1.87500000  4.00000000  0.17718821  3.94360498  1.02169445  0.05986360  1.02344672
  1.87500000  3.50000000  0.19342573  3.43245435  1.02300999  0.07184471  1.02552967
  2.50000000  3.50000000  0.17539785  3.38048689  1.04121027  0.09533244  1.04556544
  2.50000000  4.00000000  0.15916033  3.90053182  1.03882635  0.07857125  1.04179346


  1.25000000  4.00000000  0.18908313  3.97479836  1.00963061  0.04031577  1.01043522
  1.25000000  3.50000000  0.20607512  3.46984390  1.01026527  0.04814722  1.01141192
  1.87500000  3.50000000  0.19370405  3.43245435  1.02300999  0.07184471  1.02552967
  1.87500000  4.00000000  0.17671206  3.94360498  1.02169445  0.05986360  1.02344672
  1.25000000  4.00000000  0.18908313  3.97479836  1.00963061  0.04031577  1.01043522


  1.25000000  3.00000000  0.22649840  2.96455867  1.01111443  0.05626054  1.01267845
  1.87500000  3.00000000  0.21364959  2.92072343  1.02436690  0.08414632  1.02781718
  1.87500000  3.50000000  0.19345098  3.43245435  1.02300999  0.07184471  1.02552967
  1.25000000  3.50000000  0.20629979  3.46984390  1.01026527  0.04814722  1.01141192
  1.25000000  3.00000000  0.22649840  2.96455867  1.01111443  0.05626054  1.01267845


  2.50000000  5.00000000  0.13769325  4.93683285  1.03524010  0.04905841  1.03640185
  1.87500000  5.00000000  0.15318789  4.96399616  1.01976770  0.03849229  1.02049391
  1.87500000  4.50000000  0.16318695  4.45412950  1.02029405  0.04857002  1.02144946
  2.50000000  4.50000000  0.14769232  4.41933983  1.03621557  0.06318531  1.03814021
  2.50000000  5.00000000  0.13769325  4.93683285  1.03524010  0.04905841  1.03640185


  1.25000000  5.00000000  0.16333378  4.98391882  1.00965369  0.02554140  1.00997670
  1.25000000  4.50000000  0.17459170  4.47948194  1.00911226  0.03285669  1.00964702
  1.87500000  4.50000000  0.16365976  4.45412950  1.02029405  0.04857002  1.02144946
  1.87500000  5.00000000  0.15240184  4.96399616  1.01976770  0.03849229  1.02049391
  1.25000000  5.00000000  0.16333378  4.98391882  1.00965369  0.02554140  1.00997670


  1.25000000  4.00000000  0.18878605  3.97479836  1.00963061  0.04031577  1.01043522
  1.87500000  4.00000000  0.17711460  3.94360498  1.02169445  0.05986360  1.02344672
  1.87500000  4.50000000  0.16319201  4.45412950  1.02029405  0.04857002  1.02144946
  1.25000000  4.50000000  0.17486345  4.47948194  1.00911226  0.03285669  1.00964702
  1.25000000  4.00000000  0.18878605  3.97479836  1.00963061  0.04031577  1.01043522


  2.50000000  4.00000000  0.15991057  3.90053182  1.03882635  0.07857125  1.04179346
  2.50000000  4.50000000  0.14698753  4.41933983  1.03621557  0.06318531  1.03814021
  1.87500000  4.50000000  0.16372662  4.45412950  1.02029405  0.04857002  1.02144946
  1.87500000  4.00000000  0.17664967  3.94360498  1.02169445  0.05986360  1.02344672
  2.50000000  4.00000000  0.15991057  3.90053182  1.03882635  0.07857125  1.04179346


  0.00000000  5.00000000  0.17167290  4.99999987  1.00000000  0.00000000  1.00000000
  0.00000000  4.50000000  0.18348125  4.49999989  1.00000000  0.00000000  1.00000000
  0.62500000  4.50000000  0.18152287  4.49483059  1.00213009  0.01657915  1.00226722
  0.62500000  5.00000000  0.16971452  4.99582539  1.00126155  0.01346089  1.00135203
  0.00000000  5.00000000  0.17167290  4.99999987  1.00000000  0.00000000  1.00000000


  0.00000000  4.00000000  0.19822480  3.99999990  1.00000000  0.00000000  1.00000000
  0.62500000  4.00000000  0.19605255  3.99367628  1.00239464  0.02033040  1.00260079
  0.62500000  4.50000000  0.18139932  4.49483059  1.00213009  0.01657915  1.00226722
  0.00000000  4.50000000  0.18357157  4.49999989  1.00000000  0.00000000  1.00000000
  0.00000000  4.00000000  0.19822480  3.99999990  1.00000000  0.00000000  1.00000000


  1.25000000  4.00000000  0.18903006  3.97479836  1.00963061  0.04031577  1.01043522
  1.25000000  4.50000000  0.17460072  4.47948194  1.00911226  0.03285669  1.00964702
  0.62500000  4.50000000  0.18150611  4.49483059  1.00213009  0.01657915  1.00226722
  0.62500000  4.00000000  0.19593545  3.99367628  1.00239464  0.02033040  1.00260079
  1.25000000  4.00000000  0.18903006  3.97479836  1.00963061  0.04031577  1.01043522


  1.25000000  5.00000000  0.16330867  4.98391882  1.00965369  0.02554140  1.00997670
  0.62500000  5.00000000  0.16991595  4.99582539  1.00126155  0.01346089  1.00135203
  0.62500000  4.50000000  0.18138685  4.49483059  1.00213009  0.01657915  1.00226722
  1.25000000  4.50000000  0.17477957  4.47948194  1.00911226  0.03285669  1.00964702
  1.25000000  5.00000000  0.16330867  4.98391882  1.00965369  0.02554140  1.00997670


  0.00000000  5.00000000  0.17037386  4.99999987  1.00000000  0.00000000  1.00000000
  0.62500000  5.00000000  0.16848747  4.99582539  1.00126155  0.01346089  1.00135203
  0.62500000  6.25000000  0.15145530  6.24798022  0.99793040  0.00629587  0.99795026
  0.00000000  6.25000000  0.15334168  6.24999986  1.00000000  0.00000000  1.00000000
  0.00000000  5.00000000  0.17037386  4.99999987  1.00000000  0.00000000  1.00000000


  1.25000000  5.00000000  0.16253812  4.98391882  1.00965369  0.02554140  1.00997670
  1.25000000  6.25000000  0.14501570  6.24458117  1.00981002  0.00716599  1.00983545
  0.62500000  6.25000000  0.15102761  6.24798022  0.99793040  0.00629587  0.99795026
  0.62500000  5.00000000  0.16855003  4.99582539  1.00126155  0.01346089  1.00135203
  1.25000000  5.00000000  0.16253812  4.98391882  1.00965369  0.02554140  1.00997670


  1.25000000  7.50000000  0.14215392  7.50755177  1.01806255 -0.02475566  1.01836349
  0.62500000  7.50000000  0.14977993  7.49849268  0.98283972  0.00507230  0.98285281
  0.62500000  6.25000000  0.15199382  6.24798022  0.99793040  0.00629587  0.99795026
  1.25000000  6.25000000  0.14436781  6.24458117  1.00981002  0.00716599  1.00983545
  1.25000000  7.50000000  0.14215392  7.50755177  1.01806255 -0.02475566  1.01836349


  0.00000000  7.50000000  0.15368774  7.49999985  1.00000000  0.00000000  1.00000000
  0.00000000  6.25000000  0.15284285  6.24999986  1.00000000  0.00000000  1.00000000
  0.62500000  6.25000000  0.15097436  6.24798022  0.99793040  0.00629587  0.99795026
  0.62500000  7.50000000  0.15181926  7.49849268  0.98283972  0.00507230  0.98285281
  0.00000000  7.50000000  0.15368774  7.49999985  1.00000000  0.00000000  1.00000000


  2.50000000  5.00000000  0.13778374  4.93683285  1.03524010  0.04905841  1.03640185
  2.50000000  6.25000000  0.12246150  6.22658261  1.03052390  0.01768967  1.03067572
  1.87500000  6.25000000  0.13597296  6.23697788  1.01725674  0.01695737  1.01739807
  1.87500000  5.00000000  0.15129520  4.96399616  1.01976770  0.03849229  1.02049391
  2.50000000  5.00000000  0.13778374  4.93683285  1.03524010  0.04905841  1.03640185


  2.50000000  7.50000000  0.11737298  7.51736787  1.03981734 -0.01275920  1.03989562
  1.87500000  7.50000000  0.12889223  7.51313353  1.02600601  0.00373563  1.02601281
  1.87500000  6.25000000  0.13611240  6.23697788  1.01725674  0.01695737  1.01739807
  2.50000000  6.25000000  0.12459315  6.22658261  1.03052390  0.01768967  1.03067572
  2.50000000  7.50000000  0.11737298  7.51736787  1.03981734 -0.01275920  1.03989562


  1.25000000  7.50000000  0.13969020  7.50755177  1.01806255 -0.02475566  1.01836349
  1.25000000  6.25000000  0.14553559  6.24458117  1.00981002  0.00716599  1.00983545
  1.87500000  6.25000000  0.13563117  6.23697788  1.01725674  0.01695737  1.01739807
  1.87500000  7.50000000  0.12978578  7.51313353  1.02600601  0.00373563  1.02601281
  1.25000000  7.50000000  0.13969020  7.50755177  1.01806255 -0.02475566  1.01836349


  1.25000000  5.00000000  0.16202938  4.98391882  1.00965369  0.02554140  1.00997670
  1.87500000  5.00000000  0.15211899  4.96399616  1.01976770  0.03849229  1.02049391
  1.87500000  6.25000000  0.13522184  6.23697788  1.01725674  0.01695737  1.01739807
  1.25000000  6.25000000  0.14513223  6.24458117  1.00981002  0.00716599  1.00983545
  1.25000000  5.00000000  0.16202938  4.98391882  1.00965369  0.02554140  1.00997670


  2.50000000 10.00000000  0.10446247 10.00237707  0.03888667  0.00014504  0.03888694
  1.87500000 10.00000000  0.10533190 10.00273630  0.01395183  0.00034880  0.01395619
  1.87500000  8.75000000  0.11040944  8.80341043  1.15170606 -0.05837796  1.15318465
  2.50000000  8.75000000  0.10954001  8.83786360  1.18321050 -0.05384152  1.18443488
  2.50000000 10.00000000  0.10446247 10.00237707  0.03888667  0.00014504  0.03888694


  1.25000000 10.00000000  0.06330671 10.00340107 -0.02361747  0.00103233  0.02364002
  1.25000000  8.75000000  0.14285792  8.75791173  1.05848638 -0.09564902  1.06279920
  1.87500000  8.75000000  0.15132964  8.80341043  1.15170606 -0.05837796  1.15318465
  1.87500000 10.00000000  0.07177843 10.00273630  0.01395183  0.00034880  0.01395619
  1.25000000 10.00000000  0.06330671 10.00340107 -0.02361747  0.00103233  0.02364002


  1.25000000  7.50000000  0.13366890  7.50755177  1.01806255 -0.02475566  1.01836349
  1.87500000  7.50000000  0.10952189  7.51313353  1.02600601  0.00373563  1.02601281
  1.87500000  8.75000000  0.15125222  8.80341043  1.15170606 -0.05837796  1.15318465
  1.25000000  8.75000000  0.17539922  8.75791173  1.05848638 -0.09564902  1.06279920
  1.25000000  7.50000000  0.13366890  7.50755177  1.01806255 -0.02475566  1.01836349


  2.50000000  7.50000000  0.12647956  7.51736787  1.03981734 -0.01275920  1.03989562
  2.50000000  8.75000000  0.10176250  8.83786360  1.18321050 -0.05384152  1.18443488
  1.87500000  8.75000000  0.11926397  8.80341043  1.15170606 -0.05837796  1.15318465
  1.87500000  7.50000000  0.14398103  7.51313353  1.02600601  0.00373563  1.02601281
  2.50000000  7.50000000  0.12647956  7.51736787  1.03981734 -0.01275920  1.03989562


  0.00000000 10.00000000  0.61681729  9.99999983  1.00000000  0.00000000  1.00000000
  0.00000000  8.75000000  0.19338409  8.74999984  1.00000000  0.00000000  1.00000000
  0.62500000  8.75000000 -0.03945285  8.73222501  0.90827378  0.07312797  0.91121291
  0.62500000 10.00000000  0.38398035 10.00270076  0.32120159  0.00082992  0.32120267
  0.00000000 10.00000000  0.61681729  9.99999983  1.00000000  0.00000000  1.00000000


  0.00000000  7.50000000  0.14961694  7.49999985  1.00000000  0.00000000  1.00000000
  0.62500000  7.50000000  0.16204495  7.49849268  0.98283972  0.00507230  0.98285281
  0.62500000  8.75000000  0.16289753  8.73222501  0.90827378  0.07312797  0.91121291
  0.00000000  8.75000000  0.15046952  8.74999984  1.00000000  0.00000000  1.00000000
  0.00000000  7.50000000  0.14961694  7.49999985  1.00000000  0.00000000  1.00000000


  1.25000000  7.50000000  0.14853889  7.50755177  1.01806255 -0.02475566  1.01836349
  1.25000000  8.75000000  0.16226222  8.75791173  1.05848638 -0.09564902  1.06279920
  0.62500000  8.75000000  0.16211175  8.73222501  0.90827378  0.07312797  0.91121291
  0.62500000  7.50000000  0.14838842  7.49849268  0.98283972  0.00507230  0.98285281
  1.25000000  7.50000000  0.14853889  7.50755177  1.01806255 -0.02475566  1.01836349


  1.25000000 10.00000000 -0.04691579 10.00340107 -0.02361747  0.00103233  0.02364002
  0.62500000 10.00000000  0.07164122 10.00270076  0.32120159  0.00082992  0.32120267
  0.62500000  8.75000000  0.31447955  8.73222501  0.90827378  0.07312797  0.91121291
  1.25000000  8.75000000  0.19592254  8.75791173  1.05848638 -0.09564902  1.06279920
